"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Dundee, Scotland","https://en.wikipedia.org/wiki/Jamie_Ritchie","Jamie Ritchie (c)","Back row","(1996-08-16)16 August 1996 (aged 27)",43,NA,NA,"Edinburgh","Scotland",56.4605938,-2.97019
"Manchester, England","https://en.wikipedia.org/wiki/Hamish_Watson_(rugby_union)","Hamish Watson","Back row","(1991-10-15)15 October 1991 (aged 31)",58,NA,NA,"Edinburgh","England",53.4794892,-2.2451148
"Dundee, Scotland","https://en.wikipedia.org/wiki/George_Horne_(rugby_union)","George Horne","Scrum-half","(1995-05-12)12 May 1995 (aged 28)",23,NA,NA,"Glasgow Warriors","Scotland",56.4605938,-2.97019
"King's Lynn, England","https://en.wikipedia.org/wiki/Ali_Price","Ali Price","Scrum-half","(1993-05-12)12 May 1993 (aged 30)",63,NA,NA,"Glasgow Warriors","England",52.7538673,0.3954774
"Stoke-on-Trent, England","https://en.wikipedia.org/wiki/Ben_White_(rugby_union,_born_1998)","Ben White","Scrum-half","(1998-05-27)27 May 1998 (aged 25)",17,NA,NA,"Toulon","England",53.0162014,-2.1812607
"Tipperary, Ireland","https://en.wikipedia.org/wiki/Ben_Healy_(rugby_union)","Ben Healy","Fly-half","(1999-06-29)29 June 1999 (aged 24)",3,NA,NA,"Edinburgh","Ireland",52.68482145,-7.89812753134558
"Bridge of Allan, Scotland","https://en.wikipedia.org/wiki/Finn_Russell","Finn Russell","Fly-half","(1992-09-23)23 September 1992 (aged 30)",72,NA,NA,"Bath","Scotland",56.1550362,-3.9480672
"Carlisle, England","https://en.wikipedia.org/wiki/Chris_Harris_(rugby_union)","Chris Harris","Centre","(1990-12-28)28 December 1990 (aged 32)",44,NA,NA,"Gloucester","England",54.8948478,-2.9362311
"Leith, Edinburgh, Scotland","https://en.wikipedia.org/wiki/Huw_Jones_(rugby_union)","Huw Jones","Centre","(1993-12-17)17 December 1993 (aged 29)",39,NA,NA,"Glasgow Warriors","Scotland",55.9725499,-3.1709492
"Narbonne, France","https://en.wikipedia.org/wiki/Cameron_Redpath","Cameron Redpath","Centre","(1999-12-23)23 December 1999 (aged 23)",7,NA,NA,"Bath","France",43.1837757,3.0041906
"Frankston, Victoria, Australia","https://en.wikipedia.org/wiki/Sione_Tuipulotu_(rugby_union,_born_February_1997)","Sione Tuipulotu","Centre","(1997-02-12)12 February 1997 (aged 26)",19,NA,NA,"Glasgow Warriors","Australia",-38.1444729,145.1268808
"Hawick, Scotland","https://en.wikipedia.org/wiki/Darcy_Graham","Darcy Graham","Wing","(1997-06-21)21 June 1997 (aged 26)",35,NA,NA,"Edinburgh","Scotland",55.422564,-2.7866951
"Johannesburg, South Africa","https://en.wikipedia.org/wiki/Kyle_Steyn","Kyle Steyn","Wing","(1994-01-29)29 January 1994 (aged 29)",13,NA,NA,"Glasgow Warriors","South Africa",-26.205,28.049722
"George, Western Cape, South Africa","https://en.wikipedia.org/wiki/Duhan_van_der_Merwe","Duhan van der Merwe","Wing","(1995-06-04)4 June 1995 (aged 28)",31,NA,NA,"Edinburgh","South Africa",-33.964444,22.459722
"Edinburgh, Scotland","https://en.wikipedia.org/wiki/Blair_Kinghorn","Blair Kinghorn","Fullback","(1997-01-18)18 January 1997 (aged 26)",46,NA,NA,"Edinburgh","Scotland",55.9533456,-3.1883749
"Prestwick, Scotland","https://en.wikipedia.org/wiki/Ollie_Smith_(rugby_union,_born_2000)","Ollie Smith","Fullback","(2000-08-07)7 August 2000 (aged 23)",6,NA,NA,"Glasgow Warriors","Scotland",55.4982802,-4.6113017
"ʻEua, Tonga","https://en.wikipedia.org/wiki/Siua_Maile","Siua Maile","Hooker","(1997-02-18)18 February 1997 (aged 26)",15,NA,"Tonga","Benetton","Tonga",-21.37053155,-174.938855544178
"Gisborne, New Zealand","https://en.wikipedia.org/wiki/Sam_Moli","Sam Moli","Hooker","(1998-12-24)24 December 1998 (aged 24)",13,NA,"Tonga","Moana Pasifika","New Zealand",-38.661326,178.0206487
"Christchurch, New Zealand","https://en.wikipedia.org/wiki/Paul_Ngauamo","Paul Ngauamo","Hooker","(1990-02-19)19 February 1990 (aged 33)",27,NA,"Tonga","Castres","New Zealand",-43.530955,172.6364343
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Joe_Apikotoa","Joe Apikotoa","Prop","(1996-07-18)18 July 1996 (aged 27)",3,NA,"Tonga","Moana Pasifika","New Zealand",-41.2887953,174.7772114
"Vavaʻu, Tonga","https://en.wikipedia.org/wiki/Siegfried_Fisi%27ihoi","Siegfried Fisi'ihoi","Prop","(1987-06-08)8 June 1987 (aged 36)",23,NA,"Tonga","Pau","Tonga",-18.7196757,-174.040847307104
"Gisborne, New Zealand","https://en.wikipedia.org/wiki/Feao_Fotuaika","Feao Fotuaika","Prop","(1993-04-23)23 April 1993 (aged 30)",5,NA,"Tonga","Lyon","New Zealand",-38.661326,178.0206487
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Tau_Koloamatangi","Tau Koloamatangi","Prop","(1995-01-03)3 January 1995 (aged 28)",7,NA,"Tonga","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
NA,"https://en.wikipedia.org/w/index.php?title=Paula_Latu&action=edit&redlink=1","Paula Latu","Prop","(1996-02-14)14 February 1996 (aged 27)",1,NA,"Tonga","Southland",NA,NA,NA
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Ben_Tameifuna","Ben Tameifuna","Prop","(1991-08-30)30 August 1991 (aged 32)",29,NA,"Tonga","Bordeaux","New Zealand",-36.5412811,174.550610491441
"Hobart, Tasmania, Australia","https://en.wikipedia.org/wiki/Adam_Coleman","Adam Coleman","Lock","(1991-10-07)7 October 1991 (aged 31)",0,NA,"Tonga","Bordeaux","Australia",-42.8825088,147.3281233
"Neiafu, Tonga","https://en.wikipedia.org/wiki/Leva_Fifita","Leva Fifita","Lock","(1989-07-29)29 July 1989 (aged 34)",31,NA,"Tonga","Connacht","Tonga",-18.6515538,-173.9833124
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Sam_Lousi","Sam Lousi","Lock","(1991-07-20)20 July 1991 (aged 32)",13,NA,"Tonga","Scarlets","New Zealand",-36.5412811,174.550610491441
"Fairfield, New South Wales, Australia","https://en.wikipedia.org/wiki/Steve_Mafi","Steve Mafi","Lock","(1989-12-09)9 December 1989 (aged 33)",41,NA,"Tonga","Oyonnax","Australia",-33.86744035,150.889322169804
"Tofoa, Tonga","https://en.wikipedia.org/wiki/Semisi_Paea","Semisi Paea","Lock","(1999-04-17)17 April 1999 (aged 24)",3,NA,"Tonga","New England Free Jacks","Tonga",-21.1551517,-175.2269029
"Vavaʻu, Tonga","https://en.wikipedia.org/wiki/Vaea_Fifita","Vaea Fifita","Back row","(1992-06-17)17 June 1992 (aged 31)",9,NA,"Tonga","Scarlets","Tonga",-18.7196757,-174.040847307104
"Nukuʻalofa, Tonga","https://en.wikipedia.org/wiki/Solomone_Funaki","Solomone Funaki","Back row","(1994-04-25)25 April 1994 (aged 29)",7,NA,"Tonga","Moana Pasifika","Tonga",-21.1343401,-175.201808
NA,"https://en.wikipedia.org/w/index.php?title=Tanginoa_Halaifonua&action=edit&redlink=1","Tanginoa Halaifonua","Back row","(1996-09-20)20 September 1996 (aged 26)",13,NA,"Tonga","Stade Français",NA,NA,NA
"Nuku'alofa, Tonga","https://en.wikipedia.org/wiki/Sione_Havili_Talitui","Sione Havili Talitui","Back row","(1998-01-25)25 January 1998 (aged 25)",9,NA,"Tonga","Crusaders","Tonga",-21.1343401,-175.201808
"Nukualofa, Tonga","https://en.wikipedia.org/wiki/Sione_Vailanu","Sione Vailanu","Back row","(1995-01-27)27 January 1995 (aged 28)",12,NA,"Tonga","Glasgow Warriors","Tonga",-21.1343401,-175.201808
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Manu_Paea","Manu Paea","Scrum-half","(2001-09-17)17 September 2001 (aged 21)",9,NA,"Tonga","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Augustine_Pulu","Augustine Pulu","Scrum-half","(1990-01-04)4 January 1990 (aged 33)",3,NA,"Tonga","Hino Red Dolphins","New Zealand",-36.5412811,174.550610491441
"Lapaha, Tonga","https://en.wikipedia.org/wiki/Sonatane_Takulua","Sonatane Takulua (c)","Scrum-half","(1991-01-11)11 January 1991 (aged 32)",52,NA,"Tonga","Agen","Tonga",-21.1799251,-175.1181101
"Motueka, New Zealand","https://en.wikipedia.org/wiki/William_Havili","William Havili","Fly-half","(1998-09-09)9 September 1998 (aged 24)",9,NA,"Tonga","Moana Pasifika","New Zealand",-41.112493,173.0094875
NA,"https://en.wikipedia.org/w/index.php?title=Otumaka_Mausia&action=edit&redlink=1","Otumaka Mausia","Fly-half","(1997-04-22)22 April 1997 (aged 26)",11,NA,"Tonga","Western Sydney Two Blues",NA,NA,NA
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Pita_Ahki","Pita Ahki","Centre","(1992-09-24)24 September 1992 (aged 30)",4,NA,"Tonga","Toulouse","New Zealand",-36.5412811,174.550610491441
"Ha'apai, Tonga","https://en.wikipedia.org/wiki/Malakai_Fekitoa","Malakai Fekitoa","Centre","(1992-05-10)10 May 1992 (aged 31)",8,NA,"Tonga","Benetton","Tonga",-21.1902417,-175.220765104461
"Auckland, New Zealand","https://en.wikipedia.org/wiki/George_Moala","George Moala","Centre","(1990-11-05)5 November 1990 (aged 32)",5,NA,"Tonga","Clermont","New Zealand",-36.5412811,174.550610491441
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Afusipa_Taumoepeau","Afusipa Taumoepeau","Centre","(1990-01-26)26 January 1990 (aged 33)",12,NA,"Tonga","Perpignan","Australia",-33.8698439,151.2082848
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Fine_Inisi","Fine Inisi","Wing","(1998-05-19)19 May 1998 (aged 25)",7,NA,"Tonga","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Neiafu, Tonga","https://en.wikipedia.org/wiki/Solomone_Kata","Solomone Kata","Wing","(1994-12-03)3 December 1994 (aged 28)",9,NA,"Tonga","Leicester Tigers","Tonga",-18.6515538,-173.9833124
NA,"https://en.wikipedia.org/w/index.php?title=Kyren_Taumoefolau&action=edit&redlink=1","Kyren Taumoefolau","Wing","(2003-05-08)8 May 2003 (aged 20)",5,NA,"Tonga","Moana Pasifika",NA,NA,NA
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Anzelo_Tuitavuki","Anzelo Tuitavuki","Wing","(1998-10-10)10 October 1998 (aged 24)",7,NA,"Tonga","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Charles_Piutau","Charles Piutau","Fullback","(1991-10-31)31 October 1991 (aged 31)",5,NA,"Tonga","Shizuoka Blue Revs","New Zealand",-36.5412811,174.550610491441
"Negrilești, Romania","https://en.wikipedia.org/wiki/Florin_B%C4%83rda%C8%99u","Florin Bărdașu","Hooker","(1991-09-23)23 September 1991 (aged 31)",12,NA,"Romania","Steaua București","Romania",47.267249,24.0496673
"Pașcani, Romania","https://en.wikipedia.org/wiki/Ovidiu_Cojocaru","Ovidiu Cojocaru","Hooker","(1996-11-19)19 November 1996 (aged 26)",32,NA,"Romania","Dinamo București","Romania",47.2543907,26.7207615454949
"New York City, USA","https://en.wikipedia.org/wiki/Robert_Irimescu","Robert Irimescu","Hooker","(1996-03-01)1 March 1996 (aged 27)",4,NA,"Romania","Știința Baia Mare","United States",40.7127281,-74.0060152
NA,"https://en.wikipedia.org/wiki/Costel_Bur%C8%9Bil%C4%83","Costel Burțilă","Prop","(1991-07-14)14 July 1991 (aged 32)",13,NA,"Romania","Hyères Carqueiranne",NA,NA,NA
"France","https://en.wikipedia.org/wiki/Thomas_Cre%C8%9Bu","Thomas Crețu","Prop","(2002-03-05)5 March 2002 (aged 21)",5,NA,"Romania","Aurillac","France",46.603354,1.8883335
"Moldova","https://en.wikipedia.org/wiki/Gheorghe_Gajion","Gheorghe Gajion","Prop","(1992-11-13)13 November 1992 (aged 30)",9,NA,"Romania","Mont-de-Marsan","Moldova",47.2879608,28.5670941
"Romania","https://en.wikipedia.org/wiki/Alexandru_Gorda%C8%99","Alexandru Gordaș","Prop","(1994-05-11)11 May 1994 (aged 29)",35,NA,"Romania","Dinamo București","Romania",45.9852129,24.6859225
NA,"https://en.wikipedia.org/wiki/Iulian_Har%C8%9Big","Iulian Harțig","Prop","(1998-10-11)11 October 1998 (aged 24)",9,NA,"Romania","Bassin d'Arcachon",NA,NA,NA
"Focșani, Romania","https://en.wikipedia.org/wiki/Alexandru_Savin","Alexandru Savin","Prop","(1995-02-12)12 February 1995 (aged 28)",25,NA,"Romania","Steaua București","Romania",45.697274,27.1856921
NA,"https://en.wikipedia.org/wiki/%C8%98tefan_Iancu_(rugby_union)","Ștefan Iancu","Lock","(1998-07-01)1 July 1998 (aged 25)",5,NA,"Romania","Știința Baia Mare",NA,NA,NA
"Iasi Romania","https://en.wikipedia.org/wiki/Marius_Iftimiciuc","Marius Iftimiciuc","Lock","(1997-08-13)13 August 1997 (aged 26)",22,NA,"Romania","Carcassonne","Romania",47.1615416,27.5837224
"Saumur, France","https://en.wikipedia.org/wiki/Adrian_Mo%C8%9Boc","Adrian Moțoc","Lock","(1996-07-11)11 July 1996 (aged 27)",27,NA,"Romania","Biarritz","France",47.2596224,-0.0785177
NA,"https://en.wikipedia.org/wiki/Cristi_Boboc","Cristi Boboc","Back row","(1995-10-09)9 October 1995 (aged 27)",9,NA,"Romania","Steaua București",NA,NA,NA
"Bârlad, Romania","https://en.wikipedia.org/wiki/Cristi_Chiric%C4%83","Cristi Chirică (c)","Back row","(1997-04-09)9 April 1997 (aged 26)",34,NA,"Romania","Dinamo București","Romania",46.227535,27.66897
"Lespezi, Romania","https://en.wikipedia.org/wiki/Andr%C3%A9_Gorin_(rugby_union)","André Gorin","Back row","(1987-11-30)30 November 1987 (aged 35)",44,NA,"Romania","Hyères Carqueiranne","Romania",45.137234,25.1260229
"Gura Humorului, Romania","https://en.wikipedia.org/wiki/Mihai_Macovei","Mihai Macovei","Back row","(1986-10-29)29 October 1986 (aged 36)",104,NA,"Romania","Bassin d'Arcachon","Romania",47.553693,25.889007
"Bivolari, Romania","https://en.wikipedia.org/wiki/Vlad_Neculau","Vlad Neculau","Back row","(1998-01-07)7 January 1998 (aged 25)",14,NA,"Romania","Timișoara","Romania",47.5186439,27.4444348
NA,"https://en.wikipedia.org/wiki/Florian_Ro%C8%99u","Florian Roșu","Back row","(1993-04-20)20 April 1993 (aged 30)",13,NA,"Romania","Știința Baia Mare",NA,NA,NA
"Costinești, Romania","https://en.wikipedia.org/wiki/Drago%C8%99_Ser","Dragoș Ser","Back row","(1999-03-04)4 March 1999 (aged 24)",15,NA,"Romania","Steaua București","Romania",43.94877,28.6310206
"Constanța, Romania","https://en.wikipedia.org/wiki/Damian_Str%C4%83til%C4%83","Damian Strătilă","Back row","(1996-07-28)28 July 1996 (aged 27)",6,NA,"Romania","Steaua București","Romania",44.1767161,28.6507598
"Suceava, Romania","https://en.wikipedia.org/wiki/Alin_Conache","Alin Conache","Scrum-half","(2002-05-07)7 May 2002 (aged 21)",5,NA,"Romania","Timișoara","Romania",47.53265345,25.8345939174141
"Prisacani, Romania","https://en.wikipedia.org/wiki/Gabriel_Rupanu","Gabriel Rupanu","Scrum-half","(1997-09-28)28 September 1997 (aged 25)",21,NA,"Romania","Timișoara","Romania",47.0791583,27.8832257
"Bucharest, Romania","https://en.wikipedia.org/wiki/Florin_Surugiu","Florin Surugiu","Scrum-half","(1984-12-10)10 December 1984 (aged 38)",103,NA,"Romania","Steaua București","Romania",44.4361414,26.1027202
"Romania","https://en.wikipedia.org/wiki/Tudor_Boldor","Tudor Boldor","Fly-half","(1997-11-29)29 November 1997 (aged 25)",16,NA,"Romania","Dinamo București","Romania",45.9852129,24.6859225
"Romania","https://en.wikipedia.org/wiki/Mihai_Mure%C8%99an","Mihai Mureșan","Fly-half","(2002-10-02)2 October 2002 (aged 20)",3,NA,"Romania","Știința Baia Mare","Romania",45.9852129,24.6859225
"Romania","https://en.wikipedia.org/wiki/Gabriel_Pop","Gabriel Pop","Fly-half","(1998-03-29)29 March 1998 (aged 25)",5,NA,"Romania","Dinamo București","Romania",45.9852129,24.6859225
"Aurillac, France","https://en.wikipedia.org/wiki/Taylor_Gontineac","Taylor Gontineac","Centre","(2000-07-16)16 July 2000 (aged 23)",10,NA,"Romania","Rouen","France",44.9285441,2.4433101
"Tongatapu, Tonga","https://en.wikipedia.org/wiki/Tevita_Manumua","Tevita Manumua","Centre","(1993-02-12)12 February 1993 (aged 30)",2,NA,"Romania","Timișoara","Tonga",-21.1667068,-175.198199652758
"Tonga","https://en.wikipedia.org/wiki/Talia%CA%BBuli_Sikuea","Taliaʻuli Sikuea","Centre","(1995-07-14)14 July 1995 (aged 28)",1,NA,"Romania","Știința Baia Mare","Tonga",-19.9160819,-175.202642
"Sunnybank, Queensland, Australia","https://en.wikipedia.org/wiki/Jason_Tomane","Jason Tomane","Centre","(1995-03-04)4 March 1995 (aged 28)",14,NA,"Romania","Știința Baia Mare","Australia",-27.5798565,153.060293844395
"Tonga","https://en.wikipedia.org/wiki/Sioeli_Lama","Sioeli Lama","Wing","(1995-10-12)12 October 1995 (aged 27)",6,NA,"Romania","Steaua București","Tonga",-19.9160819,-175.202642
"France","https://en.wikipedia.org/wiki/Nicolas_Onu%C8%9Bu","Nicolas Onuțu","Wing","(1995-12-27)27 December 1995 (aged 27)",27,NA,"Romania","Annonay","France",46.603354,1.8883335
"Erbiceni, Romania","https://en.wikipedia.org/wiki/Marius_Simionescu","Marius Simionescu","Wing","(1997-09-05)5 September 1997 (aged 26)",30,NA,"Romania","Timișoara","Romania",47.2582076,27.2385707
"Neiafu, Tonga","https://en.wikipedia.org/wiki/Fonovai_Tangimana","Fonovai Tangimana","Wing","(1989-10-25)25 October 1989 (aged 33)",22,NA,"Romania","Steaua București","Tonga",-18.6515538,-173.9833124
"Pașcani, Romania","https://en.wikipedia.org/wiki/Paul_Popoaia","Paul Popoaia","Fullback","(2000-05-29)29 May 2000 (aged 23)",12,NA,"Romania","Știința Baia Mare","Romania",47.2543907,26.7207615454949
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Hinckley_Vaovasa","Hinckley Vaovasa","Fullback","(1998-09-24)24 September 1998 (aged 24)",18,NA,"Romania","Steaua București","New Zealand",-41.2887953,174.7772114
"Newport, Wales","https://en.wikipedia.org/wiki/Elliot_Dee","Elliot Dee","Hooker","(1994-03-07)7 March 1994 (aged 29)",43,NA,"Wales","Dragons","Wales",51.5882332,-2.9974967
"Carmarthen, Wales","https://en.wikipedia.org/wiki/Ryan_Elias","Ryan Elias","Hooker","(1995-01-07)7 January 1995 (aged 28)",34,NA,"Wales","Scarlets","Wales",51.8591257,-4.3115907
"Bridgend, Wales","https://en.wikipedia.org/wiki/Dewi_Lake","Dewi Lake (cc)","Hooker","(1999-05-16)16 May 1999 (aged 24)",9,NA,"Wales","Ospreys","Wales",51.5049859,-3.5756674
"Poznan, Poland","https://en.wikipedia.org/wiki/Corey_Domachowski","Corey Domachowski","Prop","(1996-11-09)9 November 1996 (aged 26)",2,NA,"Wales","Cardiff","Poland",52.4082663,16.9335199
"York, England","https://en.wikipedia.org/wiki/Tomas_Francis","Tomas Francis","Prop","(1992-04-27)27 April 1992 (aged 31)",72,NA,"Wales","Provence","England",53.9590555,-1.0815361
"Church Village, Wales","https://en.wikipedia.org/wiki/Dillon_Lewis","Dillon Lewis","Prop","(1996-01-04)4 January 1996 (aged 27)",51,NA,"Wales","Harlequins","Wales",51.5644042,-3.3204149
"Swansea, Wales","https://en.wikipedia.org/wiki/Nicky_Smith_(rugby_union)","Nicky Smith","Prop","(1994-04-07)7 April 1994 (aged 29)",44,NA,"Wales","Ospreys","Wales",51.6195955,-3.9459248
"Newcastle Emlyn, Ceredigion, Wales","https://en.wikipedia.org/wiki/Gareth_Thomas_(rugby_union,_born_1993)","Gareth Thomas","Prop","(1993-08-02)2 August 1993 (aged 30)",22,NA,"Wales","Ospreys","Wales",52.03907225,-4.46325409799304
"Kingston upon Thames, England","https://en.wikipedia.org/wiki/Henry_Thomas_(rugby_union)","Henry Thomas","Prop","(1991-10-30)30 October 1991 (aged 31)",2,NA,"Wales","Montpellier","England",51.4096275,-0.3062621
"Swansea, Wales","https://en.wikipedia.org/wiki/Adam_Beard","Adam Beard","Lock","(1996-01-07)7 January 1996 (aged 27)",47,NA,"Wales","Ospreys","Wales",51.6195955,-3.9459248
"Bridgend, Wales","https://en.wikipedia.org/wiki/Dafydd_Jenkins_(rugby_union)","Dafydd Jenkins","Lock","(2002-12-05)5 December 2002 (aged 20)",7,NA,"Wales","Exeter Chiefs","Wales",51.5049859,-3.5756674
"Hammersmith, London, England","https://en.wikipedia.org/wiki/Will_Rowlands","Will Rowlands","Lock","(1991-09-19)19 September 1991 (aged 31)",25,NA,"Wales","Racing 92","England",51.4920377,-0.2236401
"Kinshasa, Democratic Republic of the Congo","https://en.wikipedia.org/wiki/Christ_Tshiunza","Christ Tshiunza","Lock","(2002-01-09)9 January 2002 (aged 21)",7,NA,"Wales","Exeter Chiefs","Democratic Republic of the Congo",-4.3217055,15.3125974
"Newport, Wales","https://en.wikipedia.org/wiki/Taine_Basham","Taine Basham","Back row","(1999-02-22)22 February 1999 (aged 24)",13,NA,"Wales","Dragons","Wales",51.5882332,-2.9974967
"Tofoa, Tonga","https://en.wikipedia.org/wiki/Taulupe_Faletau","Taulupe Faletau","Back row","(1990-11-12)12 November 1990 (aged 32)",100,NA,"Wales","Cardiff","Tonga",-21.1551517,-175.2269029
"Salford, England","https://en.wikipedia.org/wiki/Dan_Lydiate","Dan Lydiate","Back row","(1988-12-18)18 December 1988 (aged 34)",71,NA,"Wales","Dragons","England",53.4877463,-2.2891921
"Sketty, Wales","https://en.wikipedia.org/wiki/Jac_Morgan","Jac Morgan (cc)","Back row","(2000-01-21)21 January 2000 (aged 23)",11,NA,"Wales","Ospreys","Wales",51.6144637,-3.99286574583333
"Bridgend, Wales","https://en.wikipedia.org/wiki/Tommy_Reffell","Tommy Reffell","Back row","(1999-04-27)27 April 1999 (aged 24)",10,NA,"Wales","Leicester Tigers","Wales",51.5049859,-3.5756674
"Newport, Wales","https://en.wikipedia.org/wiki/Aaron_Wainwright","Aaron Wainwright","Back row","(1997-09-25)25 September 1997 (aged 25)",39,NA,"Wales","Dragons","Wales",51.5882332,-2.9974967
"Carmarthen, Wales","https://en.wikipedia.org/wiki/Gareth_Davies_(rugby_union,_born_1990)","Gareth Davies","Scrum-half","(1990-08-18)18 August 1990 (aged 33)",69,NA,"Wales","Scarlets","Wales",51.8591257,-4.3115907
"Treorchy, Wales","https://en.wikipedia.org/wiki/Tomos_Williams","Tomos Williams","Scrum-half","(1995-01-01)1 January 1995 (aged 28)",48,NA,"Wales","Cardiff","Wales",51.6610568,-3.5041501
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Gareth_Anscombe","Gareth Anscombe","Fly-half","(1991-05-10)10 May 1991 (aged 32)",35,NA,"Wales","Tokyo Sungoliath","New Zealand",-36.5412811,174.550610491441
"Morriston, Swansea, Wales","https://en.wikipedia.org/wiki/Dan_Biggar","Dan Biggar","Fly-half","(1989-10-16)16 October 1989 (aged 33)",109,NA,"Wales","Toulon","Wales",51.6700114,-3.929763
"Llantrisant, Wales","https://en.wikipedia.org/wiki/Sam_Costelow","Sam Costelow","Fly-half","(2001-10-01)1 October 2001 (aged 21)",4,NA,"Wales","Scarlets","Wales",51.5412874,-3.3747857
"Cardiff, Wales","https://en.wikipedia.org/wiki/Mason_Grady","Mason Grady","Centre","(2002-03-29)29 March 2002 (aged 21)",4,NA,"Wales","Cardiff","Wales",51.4816546,-3.1791934
"King's Lynn, England","https://en.wikipedia.org/wiki/George_North","George North","Centre","(1992-04-13)13 April 1992 (aged 31)",114,NA,"Wales","Ospreys","England",52.7538673,0.3954774
"Sidcup, Kent, England","https://en.wikipedia.org/wiki/Nick_Tompkins","Nick Tompkins","Centre","(1995-02-16)16 February 1995 (aged 28)",28,NA,"Wales","Saracens","England",51.4286417,0.3852493
"Weston-super-Mare, England","https://en.wikipedia.org/wiki/Johnny_Williams_(rugby_union,_born_1996)","Johnny Williams","Centre","(1996-10-18)18 October 1996 (aged 26)",6,NA,"Wales","Scarlets","England",51.3471927,-2.9778916
"Swansea, Wales","https://en.wikipedia.org/wiki/Josh_Adams_(rugby_union)","Josh Adams","Wing","(1995-04-21)21 April 1995 (aged 28)",50,NA,"Wales","Cardiff","Wales",51.6195955,-3.9459248
"Newport, Wales","https://en.wikipedia.org/wiki/Rio_Dyer","Rio Dyer","Wing","(1999-12-21)21 December 1999 (aged 23)",9,NA,"Wales","Dragons","Wales",51.5882332,-2.9974967
"Penarth, Vale of Glamorgan, Wales","https://en.wikipedia.org/wiki/Louis_Rees-Zammit","Louis Rees-Zammit","Wing","(2001-02-02)2 February 2001 (aged 22)",27,NA,"Wales","Gloucester","Wales",51.435968,-3.1733023
"Swansea, Wales","https://en.wikipedia.org/wiki/Leigh_Halfpenny","Leigh Halfpenny","Fullback","(1988-12-22)22 December 1988 (aged 34)",100,NA,"Wales","Unattached","Wales",51.6195955,-3.9459248
"Swansea, Wales","https://en.wikipedia.org/wiki/Liam_Williams_(rugby_union)","Liam Williams","Fullback","(1991-04-09)9 April 1991 (aged 32)",85,NA,"Wales","Kubota Spears","Wales",51.6195955,-3.9459248
"Australia","https://en.wikipedia.org/wiki/Matt_Faessler","Matt Faessler","Hooker","(1998-12-21)21 December 1998 (aged 24)",2,NA,"Australia","Queensland Reds","Australia",-24.7761086,134.755
"Sydney, Australia","https://en.wikipedia.org/wiki/Dave_Porecki","Dave Porecki","Hooker","(1992-10-23)23 October 1992 (aged 30)",15,NA,"Australia","NSW Waratahs","Australia",-33.8698439,151.2082848
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Jordan_Uelese","Jordan Uelese","Hooker","(1997-01-24)24 January 1997 (aged 26)",18,NA,"Australia","Melbourne Rebels","New Zealand",-41.2887953,174.7772114
"Sydney, Australia","https://en.wikipedia.org/wiki/Angus_Bell","Angus Bell","Prop","(2000-10-04)4 October 2000 (aged 22)",24,NA,"Australia","NSW Waratahs","Australia",-33.8698439,151.2082848
"Melbourne, Australia","https://en.wikipedia.org/wiki/Pone_Fa%27amausili","Pone Fa'amausili","Prop","(1997-02-26)26 February 1997 (aged 26)",5,NA,"Australia","Melbourne Rebels","Australia",-37.8142454,144.9631732
"Cairns, Queensland, Australia","https://en.wikipedia.org/wiki/Zane_Nonggorr","Zane Nonggorr","Prop","(2001-03-30)30 March 2001 (aged 22)",3,NA,"Australia","Queensland Reds","Australia",-16.9206657,145.7721854
"Wollongong, Australia","https://en.wikipedia.org/wiki/Blake_Schoupp","Blake Schoupp","Prop","(1998-11-28)28 November 1998 (aged 24)",1,NA,"Australia","ACT Brumbies","Australia",-34.4278083,150.893054
"Gold Coast, Queensland, Australia","https://en.wikipedia.org/wiki/James_Slipper","James Slipper","Prop","(1989-06-06)6 June 1989 (aged 34)",131,NA,"Australia","ACT Brumbies","Australia",-28.0023731,153.4145987
"Tongatapu, Tonga","https://en.wikipedia.org/wiki/Taniela_Tupou_(rugby_union)","Taniela Tupou","Prop","(1996-05-10)10 May 1996 (aged 27)",49,NA,"Australia","Queensland Reds","Tonga",-21.1667068,-175.198199652758
